Gene,Annotation
group_1318,Putative inner membrane protein
group_10375,DNA-binding winged helix-turn-helix (wHTH) domain;hypothetical protein;winged helix-turn-helix domain-containing protein
group_8736,Outer membrane protein
group_7511,Integrase/recombinase includes phage integrase;Integrase;Site-specific recombinase phage integrase family;Preprotein translocase;DUF4102 domain-containing protein;hypothetical protein;Putative integrase;Prophage CP4-57 integrase family protein
group_5978,NAD(P)-binding domain-containing protein;Thioredoxin reductase;hypothetical protein
group_1580,DUF2213 domain-containing protein;hypothetical protein;Gp7
group_792,3'-5' exoribonuclease;hypothetical protein;Exodeoxyribonuclease VIII;3'-5' exoribonuclease Rv2179c-like domain-containing protein
group_10504,hypothetical protein;response regulator;DNA-binding winged helix-turn-helix (wHTH) domain;Response regulator
lomR,Opacity protein LomR and related surface antigens
zigA~~~cobW,zinc metallochaperone GTPase ZigA;Metal chaperone;CobW C-terminal domain-containing protein;GTP-binding protein
group_9018,Inner membrane protein;hypothetical protein
group_8715,Morphogenetic protein;hypothetical protein;Ybl17;morphogenetic protein
group_7030,Tn3 family transposase;hypothetical protein;Transposase;Tn3-like element ISPa38 family transposase
group_5154,Lipoprotein
group_658,hypothetical protein;Mu-like prophage FluMu N-terminal domain-containing protein
group_7767,Site-specific recombinase XerD;Resolvase;site-specific integrase
group_5290,DUF305 domain-containing protein
group_4990,tRNA(fMet)-specific endonuclease VapC;Ribonuclease/mRNA interferase VapC contains PIN domain
group_4989,Alkylhydroperoxidase
group_11779,AraC-type DNA-binding domain and AraC-containing proteins;Bacillibactin transport regulator;PAS fold-4 domain-containing protein
group_11778,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase;Ketoglutarate semialdehyde dehydrogenase;NADP-dependent fatty aldehyde dehydrogenase
group_11322,putative 2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
group_11280,biotin-independent malonate decarboxylase subunit gamma
group_10773,Hut operon positive regulatory protein
group_10736,4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase
madM,Malonate/sodium symporter MadM subunit;malonate transporter subunit MadM
group_9962,malonate decarboxylase subunit alpha
group_8916,Uncharacterized OsmC-related protein
group_7878,Inner membrane protein;hypothetical protein
group_7866,hypothetical protein;acyl carrier protein;ACP-SH:acetate ligase
group_7588,RNA polymerase-binding protein DksA
group_6274,HTH cro/C1-type domain-containing protein;XRE family transcriptional regulator
mdcC,malonate decarboxylase acyl carrier protein
group_5763,Lipoprotein
group_5448,Sugar ABC transporter substrate-binding protein
group_5419,DNA-binding protein AcrR family includes nucleoid occlusion protein SlmA
group_5367,XRE family transcriptional regulator
group_3473,site-specific integrase;Resolvase;Site-specific recombinase XerD
hcnA,(2Fe-2S)-binding protein;Hydrogen cyanide synthase subunit HcnA
dadA,Glycine/D-amino acid oxidase (deaminating)
group_2856,Biotin carrier protein MADF;Acetyl-CoA carboxylase biotin carboxyl carrier protein subunit
group_2648,ParA
madL,malonate transporter subunit MadL
prdF,4-hydroxyproline epimerase
madB,Na+-transporting malonate decarboxylase carboxybiotin decarboxylase subunit
group_993,Plasmid stability family protein
mdcD,hypothetical protein;biotin-independent malonate decarboxylase subunit beta
group_338,hypothetical protein;LysR family transcriptional regulator;LysR substrate-binding domain-containing protein
group_8710,Transposase;hypothetical protein
group_7865,tail fiber domain-containing protein;Peptidase S74 domain-containing protein;Tail fiber protein;Phage protein;Phage tail protein
group_7569,HNH nuclease domain-containing protein;DUF968 domain-containing protein
group_5068,Nucleoside triphosphatase D5 family;Bacteriophage P4 DNA primase;winged helix-turn-helix domain-containing protein;Bacteriophage T7 Gp4 DNA primase/helicase N-terminal domain-containing protein;toprim domain-containing protein;DUF5906 domain-containing protein;DNA primase;Zinc binding domain / DNA primase
frnE,putative dithiol-disulfide isomerase DsbA/YjbH family (virulence stress resistance)
group_3421,Site-specific recombinase phage integrase family;phage integrase Arm DNA-binding domain-containing protein;Tyrosine-type recombinase/integrase;tyrosine-type recombinase/integrase;site-specific integrase
group_2189,DUF4760 domain-containing protein;hypothetical protein
traV,type IV conjugative transfer system lipoprotein TraV;Type IV conjugative transfer system protein TraV
group_12009,malonate decarboxylase holo-[acyl-carrier-protein] synthase
group_11663,hypothetical protein;Single-stranded DNA-binding protein
group_4339,Phage antitermination protein Q;bacteriophage antitermination protein Q;Antiterminator
group_9762,FAD/FMN-binding oxidoreductase;24-dienoyl-CoA reductase or related NADH-dependent reductase Old Yellow Enzyme (OYE) family
group_4364,Uncharacterized protein YebO
group_3083,Autotransporter domain-containing protein;hypothetical protein
group_2695,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase);LexA DNA binding domain protein
cnoX,Chaperedoxin CnoX contains thioredoxin-like and TPR-like domains YbbN/TrxSC family;Thioredoxin
group_1939,DUF4942 domain-containing protein
cbiX,cobalamin biosynthesis protein CbiX;Cobalamin biosynthesis protein CbiX
group_10843,DALR domain-containing protein;cysteine--tRNA ligase
group_5648,hypothetical protein;Rrf2 family transcriptional regulator;Transcriptional regulator
group_4160,Phage tail tape measure protein;phage tail tape measure protein;Tail tape-measure protein 1;tape measure protein
ybcO,DUF1364 domain-containing protein;82 prophage-derived uncharacterized protein ybcO;hypothetical protein
group_2294,MPN domain-containing protein;DNA repair protein RadC contains a helix-hairpin-helix DNA-binding motif
group_2183,Phage tail protein
group_9748,N-acetyltransferase GNAT superfamily (includes histone acetyltransferase HPA2)
group_8565,DNA replication protein DnaC;ATP-binding protein;AAA family ATPase
group_8552,Regulatory protein
group_4529,PerC family transcriptional regulator;hypothetical protein
group_314,XRE family transcriptional regulator
group_8239,Baseplate J-like protein;Phage-related baseplate assembly protein;hypothetical protein
group_5398,Antitoxin component YafN of the YafNO toxin-antitoxin module PHD/YefM family;RelB/StbD
group_10539,Hnh endonuclease;HNH domain-containing protein;HNH endonuclease
group_8795,Cytochrome c-type biogenesis protein DsbD protein-disulfide reductase
group_8657,Tail fiber domain-containing protein;tail fiber domain-containing protein;Putative phage tail protein;Phage protein;Peptidase S74 domain-containing protein;hypothetical protein
group_3687,phosphoribosylanthranilate isomerase
ble,bleomycin binding protein Ble-MBL
group_10187,hypothetical protein;Tle1 phospholipase domain-containing protein
blaNDM~~~blaNDM5,NDM family subclass B1 metallo-beta-lactamase;subclass B1 metallo-beta-lactamase NDM-5
group_5782,DUF2931 domain-containing protein
group_5570,Antitermination protein;Antitermination protein Q;Phage antitermination protein Q
group_7600,dcm methylase;Dcm methylase;Methylase
group_11856,YagA protein
group_9185,hypothetical protein;Orf20
group_8621,Phage terminase large subunit;hypothetical protein;Terminase large subunit;Terminase
group_8549,phage terminase small subunit P27 family
group_8542,Lysis protein S
group_7725,hypothetical protein
klcA,Antirestriction protein KlcA
group_11461,ORF10;hypothetical protein
group_10941,Tn3 family transposase;hypothetical protein;Transposase and inactivated derivatives TnpA family;Tn3-like element Tn5403 family transposase
group_9195,Error-prone lesion bypass DNA polymerase V (UmuC);DNA polymerase V subunit UmuC
group_6543,Asparaginyl-tRNA synthetase
group_6273,Restriction endonuclease Mrr
group_5301,ORF11
aadA13~~~aadA16~~~aadA1~~~aadA25,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA13;ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA16;ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1;Streptomycin 3''-O-adenylyltransferase;ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA25
relB,RelB antitoxin;Antitoxin component of the RelBE or YafQ-DinJ toxin-antitoxin module
rmoA,RmoA
group_802,DUF423 domain-containing protein
ydiL,Membrane protease YdiL CAAX protease family
lexA,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase)
tgtA5,TgtA5 cluster protein 2
insD,Transposase InsD for insertion element IS2;IS3 family transposase;Insertion element IS2 transposase InsD
group_7006,Ribonuclease/mRNA interferase VapC contains PIN domain;tRNA(fMet)-specific endonuclease VapC;type II toxin-antitoxin system VapC family toxin;Putative plasmid maintenance protein
group_6626,XRE family transcriptional regulator;Helix-turn-helix transcriptional regulator
group_6544,HNH endonuclease
group_653,SDR family NAD(P)-dependent oxidoreductase;SDR family oxidoreductase;NAD(P)-dependent dehydrogenase short-chain alcohol dehydrogenase family
hEPN,HEPN domain protein putative toxin of MNT-HEPN system
group_10881,IS3 family transposase;IS3 family transposase ORF B;HTH-like domain-containing protein;integrase core domain-containing protein;IS3 family ISKpn54 transposase ORF B;Integrase catalytic domain-containing protein
group_9244,Holin
group_7227,IS4 family IS10R transposase;IS4-like element IS10A family transposase;IS4 family IS10A transposase
group_2776,Phage-related lysozyme (muramidase) GH24 family
mJ0435,putative nucleotidyltransferase MJ0435
group_3878,type II toxin-antitoxin system antitoxin PemI
group_2261,Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase
group_1846,hypothetical protein
mazF,mRNA-degrading endonuclease MazF toxin component of the MazEF toxin-antitoxin module
group_304,Cupin
group_267,Lipoprotein
group_10678,hypothetical protein;Phage integrase
group_7401,DUF4224 domain-containing protein;hypothetical protein
group_3188,hypothetical protein
group_10078,hypothetical protein
group_6375,Nuclease
group_4016,Fimbrial protein;Fimbrial subunit protein;fimbrial protein;hypothetical protein;Fimbrial-type adhesion domain-containing protein;Putative fimbrial subunit protein;Type 1 fimbriae anchoring protein FimD
group_12172,IncL/M type plasmid replication protein RepC
group_10024,hypothetical protein;Apea-like HEPN domain-containing protein;HEPN domain-containing protein
group_8550,Prophage membrane protein
group_8539,conjugal transfer complement resistance protein TraT;TraT complement resistance protein;Conjugal transfer surface exclusion protein TraT
group_7056,Amino acid transporter;Serine transporter YbeC amino acid:H+ symporter family
rocC,Amino-acid permease RocC
group_6344,hypothetical protein
dotA,DotA/TraY family protein;Type IV secretion protein DotA
group_4081,ClpX-type ZB domain-containing protein;ATP-dependent protease ATP-binding subunit ClpX;ClpX C4-type zinc finger protein
dokD,D-ornithine/D-lysine decarboxylase
atoC,Acetoacetate metabolism regulatory protein AtoC
repA,plasmid replication initiator RepA
group_12132,conjugal transfer protein TraO;hypothetical protein
group_12131,Conjugal transfer protein
group_11446,Conjugation protein TraU
group_11304,conjugal transfer protein TraP
group_11233,Histone-like protein H-NS C-terminal domain-containing protein
group_9415,HNH endonuclease
group_8765,Secreted protein
group_8241,conjugal transfer protein TraQ
group_7187,hypothetical protein;Conjugal transfer protein TrbC
group_5819,conjugal transfer protein TraW
group_2769,hypothetical protein;TraN
group_592,DNA primase TraC;hypothetical protein;LPD7 domain-containing protein
traR,Conjugation protein TraR
group_13294,DNA-binding transcriptional regulator LysR family
group_13293,phosphonate ABC transporter permease protein PhnE
ptxD,phosphonate dehydrogenase PtxD
group_10978,Conjugative transfer protein TraL
group_8080,Ornithine racemase
group_6546,hypothetical protein;Inner membrane ABC-transporter
ptxB,putative phosphite transport system-binding protein PtxB
group_13292,phosphonate ABC transporter ATP-binding protein
group_5792,phage head closure protein
group_4393,Rz-like spanin;DUF2681 domain-containing protein
group_3998,hypothetical protein;Phage-related baseplate assembly protein;baseplate assembly protein;Baseplate assembly protein;Baseplate J-like protein;Baseplate protein J-like domain-containing protein
group_11414,LysR family transcriptional regulator;DNA-binding transcriptional regulator LysR family
